Name;Birthday;Countries Active;Years Active;Proven Victims;Possible Victims;BirthYear;StartYear;Age At The Start of Killing;Notes;Type;Nickname;Reason;Archetype/Classification;Gender;Victim Age;Victim Gender;Targeted Group Type
Paul Dennis Reid;11.12.1957;United States;1997;7;7;1957;1997;40;Reid killed the employees of restaurants he targeted for a series of robberies during 1997. Reid moved to Nashville to attempt a country music career. He was fired as a dishwasher for throwing a plate at another employee. He murdered seven victims during ;Unknown;The Fast Food Killer;Power;Power/Control;Female;Adult;Mixed;None
Jerry Leon Johns;11/16/1948;United States;1983-1985;6;6;1948;1983;35;All victims were slim white women with red or reddish hair, who died by being suffocated or strangled and was found close to major roadways in Tennessee, Kentucky and West Virginia. During his crimes as a serial killer he was known to strangle, rape, and ;Rapist, Strangler, Sexual Predator;Redhead Murders, Bible Belt Strangler;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
Hubert Geralds;11/13/1964;United States;1994-1995;5;5;1964;1994;30;Geralds was charged with the murders of six prostitutes and drug addicts in Chicago's South Side. The sixth victim Geralds was charged with turned out to be one of the victims of another Chicago serial killer named Andre Crawford. A study from Radford Uni;Rapist, Strangler, Sexual Predator;Englewood Strangler;Sexual Assault;Hedonistic - Lust;Female;Adult;Female;None
Kimberly Saenz;11.03.1973;United States;2008;5;5;1973;2008;35;Saenz injected chlorine bleach into at least five patients' dialysis lines at a local Texas dialysis center in Lufkin, Texas, US. Saenz is being held at the Dr. Lane Murray Unit, Gatesville, Texas.;Hate Crime, Medical;Kimberly Clark Fowler;Power;Power/Control;Male;Adult;Mixed;Other/Unspecified
James Dale Ritchie;11.04.1976;United States;2016;5;5;1976;2016;40;Ritchie murdered at least five individuals in and around Anchorage, Alaska, most of whom were in parks or along bike paths. Ritchie was killed during a shootout with members of the Anchorage Police Department in downtown Anchorage in 2016. Following his d;Unknown;Tiny, Anchorage Serial Killer;Power;Power/Control;Male;Adult;Male;None
Marc Dutroux;11.06.1956;Belgium;1995-1996;5;11;1956;1995;39;Dutroux was convicted of kidnapping, torturing and raping six girls ranging in age from 8 to 19, four of whom he murdered. Throughout the trial, Dutroux insisted that he was part of a sex ring with accomplices among police officers, businessmen, doctors, ;Rapist, Torturer, Sexual Predator;Dutroux murders;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
Gary Hilton;11.12.1946;United States;2005-2008;4;6;1946;2005;59;On January 30, 2008, Gary Hilton pleaded guilty to one count of murder, he was sentenced to life in prison. Hilton was later linked to and then charged with three additional murders: the October 2007 murders of elderly couple in North Carolina, and the De;Hate Crime, Rapist, Sexual Predator;The National Forest Serial Killer;Sexual Assault;Hedonistic - Lust;Male;Adult;Mixed;Elderly
Cayetano Santos Godino;10/31/1896;Argentina;1912;4;4;1896;1912;16;Teenage arsonist, animal killer and child murderer with congenital syphilis. At the age of 10 Godino was aressted after his mother called the police over Godino's compulsive masturbation resulting in a two-month jail term. Arrested at age 16 in 1912 for k;Unknown;Petiso Orejudo, the Big-eared Midget;Power;Power/Control;Male;Child;Mixed;None
William Henry Hance;11.10.1951;United States;1977-1978;4;4;1951;1977;26;Hance was convicted of killing four women around military bases in 1977 and 1978. He was a suspect in the Stocking Strangler murders, until the capture of Carlton Gary. In 1984 psychiatrists determined that Mr. Hance was borderline retarded, with an I.Q. ;Rapist, Strangler, Sexual Predator;Chairman of the Forces of Evil;Sexual Assault;Hedonistic - Lust;Female;Adult;Female;None
David Parker Ray;11.06.1939;United States;1957-1999;3;60;1939;1957;18;Ray would kidnap, rape and torture victims in a soundproofed enclosed trailer equipped with devices used for sexual torture. He referred to the trailer as the toy box. In 1999, A potential victim escaped the torture trailer and alerted a nearby neighbor, ;Financial Motive, Rapist, Torturer, Sexual Predator;The Toy-Box Killer;Financial Gain, Sexual Assault;Hedonistic;Male;Adult;Male;None
Alfredo Prieto;11/18/1965;United States;1988-1990;3;9;1965;1988;23;Prieto was convicted of three murders and suspected of six more between 1988 and 1990. Prieto was sentenced to death in California in 1992 and sentenced to a second death sentence in Virginia in 2010. While in prison in California, Prieto's DNA was linked;Rapist, Sexual Predator;;Sexual Assault;Hedonistic - Lust;Male;Adult;Mixed;None
Sean Patrick Goble;11.01.1966;United States;1995;3;12;1966;1995;29;Goble was a long-distance trucker living in Asheboro, North Carolina. He was convicted in 1995 in Greene County Criminal Court of two counts of first-degree murder and sentenced to two consecutive life sentences. Goble confessed to the January 1995 murder;Rapist, Strangler, Sexual Predator;Baileyton Truck Stop Murder, The Wild One;Sexual Assault;Hedonistic - Lust;Female;Adult;Male;None
Salvatore Perrone;11/22/1948;United States;2012;3;3;1948;2012;64;A failing business owner and former door-to-door salesman, he went into stores in Brooklyn around closing time, when the merchants, who were all of Middle Eastern origin, were alone and murdered them execution-style with a sawed-off rifle. Perrone stalked;Unknown;"The Son of Sal, John Doe Duffel Bags
";Power;Power/Control;Male;Adult;Male;None
Gregory Brazel;11/17/1954;Australia;1982-1990;3;3;1954;1982;28;Brazel was dishonorably discharged after holding five privates hostage in an army exercise in Healesville, Australia. He was persuaded to release the hostages and no one was harmed. He killed three female victims between 1982 and 1990. Brazel fatally shot;Unknown;Bluey;Femicide;Power and Hedonistic;Female;Adult;Female;None
William Heirens;11/15/1928;United States;1945-1946;3;3;1928;1945;17;"Heirens stabbed three females between 1945 and 1946. Heirens was called the Lipstick Killer after a message he left written in lipstick on a wall at a crime scene. The message read ""For heavens, Sake catch me, Before I kill more, I cannot control myself"".";Unknown;The Lipstick Killer;Power;Power/Control;Male;Adult;Female;None
Gordon Northcott;11.09.1906;United States;1928;3;20;1906;1928;22;Pedophile who abducted and murdered boys aged between 10 and 12 in Los Angeles and then disposed of the bodies with the help of his mother, Sarah Louise Northcott, and his underage nephew Sanford Clark, whom Northcott had repeatedly threatened and sexuall;Sexual Predator;Wineville Chicken Coop Murders;Sexual Assault;Hedonistic - Lust;Male;Adult;Male;None
Robert Browne;10/31/1952;United States;1970-1995;2;48;1952;1970;18;"Browne instigated a new investigation by sending a cryptic letter to the authorities in 2000. The letter read, ""Seven sacred virgins entombed side by side, those less worthy are scattered wide, the score is you 1, the other team 48.?? The letter inclu";Unknown;Robert Charles Browne;Power;Power/Control;Female;Adult;Mixed;None
Billy Chemirmir;12.08.1972;United States;2016-2018;14;18;1972;2016;44;Chemirmir, a former healthcare worker and illegal alien from Kenya, allegedly posed as a maintenance worker or health care provider, to gain entrance into the elderly victim's homes. He allegedly smothered his victims to death with a pillow, stealing jewe;Financial Motive, Hate Crime;;Financial Gain;Hedonistic;Male;Adult;Male;Elderly
Rosemary West;11/29/1953;United Kingdom;1971-1987;10;10;1953;1971;18;Fred West (Frederick Walter Stephen West) a British serial killer who along with his wife Rosemary West are known as The Gloucester House of Horrors. In 1995, Fred was suspected of twelve to thirteen murders, nine young women between 1973 and 1987, and hi;Rapist, Torturer, Strangler, Sexual Predator;The Gloucester House of Horrors;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
Robert Joe Wagner;11/28/1971;Australia;1992-1999;10;10;1971;1992;21;The secondary ringleader in the Snowtown murders. The Snowtown murders were a series of murders committed by John Bunting, Robert Wagner, and James Vlassakis between August 1992 and May 1999, in South Australia. On May 20th 1999, the remains of eight vict;Cannibal, Cannibal, Torturer, Strangler;Snowtown murders, bodies-in-barrels murders;Cannibalism;Hedonistic;Male;Adult;Mixed;None
Timothy Krajcir;11/28/1944;United States;1977-1982;9;9;1944;1977;33;Krajcir would stalk his victims prior to the attack. Krajcir would break into their homes, wait for them to arrive and tie them up. Some victims were kidnapped and transported before they were killed while other victims were found tied up at their residen;Rapist, Strangler, Stalker, Sexual Predator;the Boogeyman in the blue bandana;Sexual Assault;Hedonistic - Lust;Male;Adult;Male;None
Akira Nishiguchi;12/14/1925;Japan;1963;5;5;1925;1963;38;Akira Nishiguchi a Japanese serial killer and fraudster known as the Black Gold Medalist. Nishiguchi murdered two people while engaging in confidence scams and killed three others while on the run from justice. Hanged in 1970.;Unknown;the Black Gold Medalist;Power;Power/Control;Female;Adult;Mixed;None
David Mason;12.02.1956;United States;1980-1982;5;6;1956;1980;24;Strangled four of his elderly neighbors. Mason murdered his cellmate when imprisoned on lesser charges in 1982. Mason was also a suspect in the shooting and murder of his boyfriend. Mason was executed on August 24th 1993 in the gas chamber;Hate Crime, Strangler;;Power;Power/Control;Male;Adult;Mixed;Elderly
Steven Grieveson;12/14/1970;United Kingdom;1993-1994;4;5;1970;1993;23;He would strangle and set fire to the bodies of his victims in an attempt to conceal evidence. It is believed that he killed to hide his homosexuality. He eventually confessed to al four murders and was sentenced to life imprisonment.;Sexual Predator, Strangler;Sunderland Strangler;Sexual Assault;Hedonistic - Lust;Male;Adult;Male;None
Arnold Sodeman;12/12/1899;Australia;1930-1935;4;4;1899;1930;31;He preyed on girls between the ages of 8 and 12. He lured at least two of his victims by offering to buy them ice cream and offered another victim a ride on his bicycle. Sodeman would gag, bound and strangle the girls to death. He disposed of the bodies b;Rapist, Strangler, Sexual Predator;Schoolgirl Strangler;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
John Duffy;11/29/1958;United Kingdom;1985-1986;3;3;1958;1985;27;Duffy with his accomplice David Mulcahy attacked numerous women and children at railway stations in the south of England between 1985 and 1986. Both are suspected of other sexual attacks;Rapist, Strangler, Stalker, Sexual Predator;The Railway Killers, The Railway Rapists;Sexual Assault;Hedonistic - Lust;Male;Child;Female;None
Joseph Kallinger;12.11.1935;United States;1974-1975;3;3;1935;1974;39;Kallinger murdered three people, including his teenage son, and tortured four families during 1974 and 1975. Kallinger and his son were charged with kidnapping, murder and rape. Kallinger was sentenced to life in prison in 1976, transferred to a mental ho;Rapist, Torturer, Sexual Predator;The Shoemaker;Sexual Assault;Hedonistic - Lust;Male;Adult;Male;None
Sharon Kinne;11/30/1939;United States, Mexico;1960-1964;3;3;1939;1960;21;Sharon Kinne (Sharon Elizabeth Kinne) (born Sharon Elizabeth Hall) an American serial killer known as La Pistolera (the gunfighter). Kinne murdered at least three people from 1960-1964. On December 7, 1969, Kinne escaped from the Iztapalapa prison, Mexico;Unknown;La Pistolera, the gunfighter;Power;Power/Control;Male;Adult;Mixed;None
George Chapman;12/14/1865;United Kingdom;1897-1902;3;3;1865;1897;32;George Chapman Poisoned three consecutive mistresses with tartar emetic. Considered the possible identity of Jack the Ripper at the time of his execution (1903).;Unknown;Jack the Ripper (possible);Power;Power/Control;Male;Adult;Male;None
Damaso Rodriguez Martin;12.11.1944;Spain;1981-1991;3;3;1944;1981;37;Martin was charged with murder, rape theft of a firearm and illegal possession of weapons. Sentenced to fifty-five years in prison for murdering a man and raping his girlfriend. He escaped from prison in 1991 and fled to the Anaga Mountains where he kille;Rapist, Strangler, Sexual Predator;El Brujo, The Warlock;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
Eddie Leonski;12.12.1917;Australia;1942;3;3;1917;1942;25;Leonski confessed to the strangulation, rape and murder of three women in Melbourne, Australia. He was picked from a lineup of American servicemen by the uncle of one of his victims. Leonski claimed he killed to obtain the voices of his victims. Leonski's;Rapist, Strangler, Sexual Predator;The Brownout Strangler;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
Scott Williams;12.03.1963;United States;1997-2006;3;3;1963;1997;34;Williams killed three women victims between 1997 and 2006. He would shoot victims in the head with reports of mutilation and dismemberment after death. Scott Williams was sentenced to life imprisonment in 2008.;Unknown;;Femicide;Power and Hedonistic;Male;Adult;Female;None
Dana Sue Gray;12.06.1957;United States;1994;3;3;1957;1994;37;Gray was convicted of murder of three elderly women and attempted murder of a fourth in California between February and March 1994. Gray says she committed the murders to support her spending habits. In1998, Dana Sue Gray was sentenced to life without par;Cannibal, Hate Crime, Medical, Cannibal, Strangler;;Cannibalism;Hedonistic;Female;Adult;Female;Elderly
Harvey Miguel Robinson;12.06.1974;United States;1992-1993;3;3;1974;1992;18;Robinson stalked, raped and killed three women in Allentown, Pennsylvania in 1992 and 1993. He was seventeen years old when the crimes took place and eighteen when he was apprehended. Harvey Robinson was arrested when he sought medical attention at a hosp;Medical, Rapist, Strangler, Stalker, Sexual Predator;;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
